O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,C_MKTSEGMENT,C_ACCTBAL,C_REGION,TOTAL_QUANTITY,AVG_DISCOUNT,TOTAL_DISCOUNT_VALUE,ITEM_COUNT,MAX_SHIP_DELAY
152647,37501,O,195716.84,1998-08-01,1-URGENT,HOUSEHOLD,-324.85,AMERICA,127.00,0.04600000,9551.3002,5,30
1916769,15712,O,68952.82,1998-08-01,2-HIGH,FURNITURE,6745.94,EUROPE,42.00,0.07000000,5292.3052,2,25
1947265,53872,O,186163.56,1998-08-01,1-URGENT,MACHINERY,1467.80,AFRICA,147.00,0.06600000,11512.4201,5,30
2304420,41974,O,110624.98,1998-08-01,1-URGENT,FURNITURE,2924.63,EUROPE,74.00,0.05250000,5982.5637,4,30
5971239,43669,O,14302.82,1998-08-01,3-MEDIUM,HOUSEHOLD,6969.21,ASIA,10.00,0.06000000,861.2700,1,2
2906211,65327,O,97040.46,1998-08-01,4-NOT SPECIFIED,MACHINERY,5637.28,EUROPE,50.00,0.05000000,395.6120,2,29
1570822,21292,O,138562.52,1998-08-01,1-URGENT,MACHINERY,4453.51,MIDDLE EAST,93.00,0.03000000,4014.5383,3,24
5078946,1912,O,58263.13,1998-08-01,4-NOT SPECIFIED,FURNITURE,3886.95,MIDDLE EAST,41.00,0.02000000,51.0948,2,27
4217799,145417,O,107410.10,1998-08-01,1-URGENT,MACHINERY,8322.12,EUROPE,68.00,0.03000000,3095.2935,2,11
4266372,138500,O,272964.25,1998-08-01,1-URGENT,BUILDING,540.13,AFRICA,165.00,0.05857143,17130.3576,7,22
4695428,129472,O,162609.85,1998-08-01,1-URGENT,FURNITURE,6020.91,EUROPE,99.00,0.06750000,11765.1511,4,27
1915680,123851,O,269281.07,1998-08-01,1-URGENT,BUILDING,6220.01,AFRICA,195.00,0.04000000,12625.7468,5,26
3617575,2368,O,62118.46,1998-08-01,1-URGENT,MACHINERY,3745.48,AMERICA,41.00,0.08000000,5616.3016,2,20
3890081,29087,O,183722.16,1998-08-01,3-MEDIUM,MACHINERY,-990.97,ASIA,127.00,0.04400000,7459.4722,5,25
5536291,2245,O,144018.73,1998-08-01,4-NOT SPECIFIED,BUILDING,6752.92,AFRICA,117.00,0.03250000,4425.6692,4,28
5811360,137765,O,140809.92,1998-08-01,1-URGENT,BUILDING,4604.94,EUROPE,82.00,0.05800000,10178.8944,5,30
5910693,24205,O,314123.37,1998-08-01,2-HIGH,FURNITURE,7848.15,AMERICA,210.00,0.06428571,18012.9626,7,29
2880418,120445,O,336666.98,1998-08-01,2-HIGH,MACHINERY,8556.59,AFRICA,226.00,0.04142857,19750.7726,7,29
4939329,32416,O,292493.59,1998-08-01,5-LOW,BUILDING,-700.60,MIDDLE EAST,187.00,0.03666667,12211.3105,6,24
5077926,42298,O,151905.10,1998-08-01,2-HIGH,BUILDING,6513.03,MIDDLE EAST,100.00,0.02750000,3773.1598,4,22
407044,144667,O,66488.18,1998-08-01,3-MEDIUM,HOUSEHOLD,5902.41,EUROPE,38.00,0E-8,0.0000,1,9
506023,63673,O,102312.81,1998-08-01,5-LOW,HOUSEHOLD,9439.18,AFRICA,87.00,0.07250000,7363.1493,4,17
2076038,91891,O,113557.72,1998-08-01,1-URGENT,FURNITURE,9826.73,AMERICA,87.00,0.03600000,3373.1290,5,30
3601572,8120,O,295179.00,1998-08-01,1-URGENT,HOUSEHOLD,5412.71,EUROPE,176.00,0.05142857,17174.6966,7,18
3679621,46672,O,212219.19,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,963.27,AFRICA,132.00,0.05333333,12093.7110,6,19
2922726,37270,O,183609.01,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,7253.09,AMERICA,120.00,0.08750000,15592.1595,4,24
2848612,148120,O,62246.48,1998-08-01,3-MEDIUM,MACHINERY,175.84,AFRICA,42.00,0.06000000,2726.8310,3,23
891489,119354,O,167994.52,1998-08-01,3-MEDIUM,FURNITURE,6369.06,ASIA,107.00,0.02750000,4219.8176,4,28
1270279,80170,O,118171.79,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,7546.38,ASIA,79.00,0.03400000,3894.4746,5,29
4955718,43876,O,36552.25,1998-08-01,4-NOT SPECIFIED,BUILDING,72.23,AMERICA,36.00,0.09000000,3347.2764,1,1
5358017,61897,O,49954.95,1998-08-01,5-LOW,BUILDING,1045.52,AFRICA,42.00,0.07666667,4239.3893,3,17
3731207,94174,O,215191.00,1998-08-01,5-LOW,MACHINERY,3859.31,AFRICA,150.00,0.05166667,8480.5296,6,29
3968452,22097,O,186118.22,1998-08-01,1-URGENT,MACHINERY,6778.19,ASIA,133.00,0.04333333,10169.1476,6,25
4163872,114535,O,185887.47,1998-08-01,1-URGENT,MACHINERY,930.47,AFRICA,116.00,0.06500000,9037.0575,4,25
2955940,83747,O,194882.41,1998-08-01,3-MEDIUM,AUTOMOBILE,971.50,ASIA,134.00,0.04666667,7573.2370,6,26
1011840,139070,O,180101.34,1998-08-01,5-LOW,BUILDING,732.76,AMERICA,126.00,0.05500000,10739.8175,6,14
1170343,73276,O,45367.06,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,7569.76,AFRICA,31.00,0.06000000,2811.4272,1,8
1236355,142075,O,272006.51,1998-08-01,5-LOW,FURNITURE,5129.45,ASIA,166.00,0.04500000,11026.6334,6,30
1245347,111421,O,44361.39,1998-08-01,4-NOT SPECIFIED,MACHINERY,7089.98,ASIA,29.00,0.00666667,207.1464,3,26
5337410,31967,O,44158.52,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,1530.73,ASIA,30.00,0.10000000,4672.8600,1,30
4682915,63397,O,262177.96,1998-08-01,1-URGENT,AUTOMOBILE,3461.18,EUROPE,210.00,0.05142857,16074.8904,7,26
3846179,7012,O,59429.90,1998-08-01,5-LOW,MACHINERY,-222.60,MIDDLE EAST,43.00,0.09000000,5386.8104,2,27
4147968,83395,O,96289.55,1998-08-01,1-URGENT,BUILDING,8383.00,ASIA,69.00,0.04000000,4188.9322,2,27
2472675,27952,O,124007.34,1998-08-01,3-MEDIUM,FURNITURE,3042.59,ASIA,81.00,0.06333333,7753.7149,3,19
2534339,19765,O,39937.02,1998-08-01,1-URGENT,FURNITURE,7037.64,AMERICA,37.00,0.10000000,4226.1400,1,1
2587014,63592,O,231410.39,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,8773.10,EUROPE,156.00,0.03833333,11743.1331,6,17
1074721,106894,O,115741.40,1998-08-01,1-URGENT,MACHINERY,-131.90,EUROPE,97.00,0.05500000,9157.4068,4,22
1291907,110303,O,239494.97,1998-08-01,2-HIGH,AUTOMOBILE,7468.28,AFRICA,153.00,0.06000000,16567.3580,5,22
1553889,93773,O,257033.36,1998-08-01,2-HIGH,MACHINERY,1062.34,AFRICA,194.00,0.05166667,12823.3980,6,29
5330178,66329,O,151217.90,1998-08-01,3-MEDIUM,HOUSEHOLD,2151.95,MIDDLE EAST,112.00,0.05000000,5752.7712,4,21
467651,136819,O,67143.33,1998-08-01,4-NOT SPECIFIED,BUILDING,320.19,AMERICA,45.00,0.06500000,3459.1190,2,13
496612,48983,O,219747.14,1998-08-01,5-LOW,MACHINERY,8891.07,MIDDLE EAST,143.00,0.06400000,12823.5120,5,27
3288672,92945,O,194761.72,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,1761.34,MIDDLE EAST,135.00,0.05833333,8615.5284,6,28
5939139,23822,O,222506.74,1998-08-01,5-LOW,BUILDING,7762.97,AMERICA,141.00,0.04833333,10140.7154,6,27
2734471,107704,O,201993.22,1998-08-01,3-MEDIUM,HOUSEHOLD,6284.22,MIDDLE EAST,142.00,0.05000000,7356.2176,5,30
726624,115714,O,127481.08,1998-08-01,5-LOW,BUILDING,6662.61,MIDDLE EAST,89.00,0.09000000,12235.5576,2,14
719557,116080,O,93171.87,1998-08-01,2-HIGH,HOUSEHOLD,1679.32,MIDDLE EAST,56.00,0.08500000,7534.1908,4,25
5245442,99280,O,137682.26,1998-08-01,1-URGENT,HOUSEHOLD,56.38,MIDDLE EAST,103.00,0.05800000,7178.8951,5,27
4757254,139805,O,154229.84,1998-08-01,3-MEDIUM,BUILDING,6426.82,MIDDLE EAST,91.00,0.06666667,9842.8160,3,30
1878947,48224,O,65282.19,1998-08-01,5-LOW,MACHINERY,219.59,ASIA,38.00,0.09000000,6456.4812,1,1
1979812,81766,O,135079.96,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,-814.91,AMERICA,99.00,0.04750000,5665.3951,4,20
2316964,114211,O,110409.63,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,3105.53,AFRICA,88.00,0.04600000,5220.0286,5,30
5579363,134128,O,244567.84,1998-08-01,1-URGENT,HOUSEHOLD,1461.17,AFRICA,177.00,0.04571429,10338.3322,7,25
5676068,122483,O,195381.07,1998-08-01,3-MEDIUM,AUTOMOBILE,1374.85,MIDDLE EAST,134.00,0.06166667,13226.3109,6,30
2612486,60901,O,238306.97,1998-08-01,5-LOW,FURNITURE,5954.22,AMERICA,143.00,0.06166667,10887.6392,6,25
2862848,3986,O,342461.12,1998-08-01,5-LOW,FURNITURE,-923.40,ASIA,213.00,0.06200000,21130.8837,5,27
935845,91759,O,160759.01,1998-08-01,5-LOW,MACHINERY,9694.60,ASIA,94.00,0.05200000,8488.3789,5,19
1007364,44594,O,232426.89,1998-08-01,2-HIGH,HOUSEHOLD,7734.02,ASIA,191.00,0.04166667,10482.7615,6,30
5202305,72917,O,91682.79,1998-08-01,2-HIGH,FURNITURE,4354.47,MIDDLE EAST,68.00,0.08500000,8135.0565,2,30
452484,17992,O,392394.17,1998-08-01,4-NOT SPECIFIED,FURNITURE,8408.12,EUROPE,234.00,0.04000000,16559.0289,7,19
4268001,14023,O,142668.98,1998-08-01,1-URGENT,FURNITURE,2980.93,AMERICA,109.00,0.06600000,9641.5978,5,19
4749504,99452,O,15421.19,1998-08-01,1-URGENT,HOUSEHOLD,4655.46,AMERICA,11.00,0.05000000,751.5200,1,15
3060705,90455,O,218957.91,1998-08-01,2-HIGH,AUTOMOBILE,9205.74,AMERICA,146.00,0.04600000,9086.4363,5,30
3220960,19016,O,195899.67,1998-08-01,1-URGENT,BUILDING,7309.46,AMERICA,126.00,0.03857143,8186.7127,7,22
3577024,78625,O,1466.22,1998-08-01,3-MEDIUM,HOUSEHOLD,-754.18,AMERICA,1.00,0E-8,0.0000,1,24
3711973,88687,O,41885.60,1998-08-01,3-MEDIUM,MACHINERY,9585.84,ASIA,37.00,0.08500000,4017.8698,2,14
3822756,107393,O,222241.26,1998-08-01,1-URGENT,MACHINERY,4300.78,EUROPE,168.00,0.04571429,7789.7089,7,22
5736000,118435,O,48144.70,1998-08-01,1-URGENT,AUTOMOBILE,8564.39,EUROPE,32.00,0.05000000,2460.1280,1,20
2718566,41633,O,125148.62,1998-08-01,5-LOW,MACHINERY,8619.93,ASIA,81.00,0.05250000,7482.6777,4,21
2910945,130856,O,183361.25,1998-08-01,3-MEDIUM,HOUSEHOLD,6589.97,EUROPE,129.00,0.07000000,11478.6278,7,21
1431173,94823,O,62613.62,1998-08-01,4-NOT SPECIFIED,FURNITURE,2555.67,EUROPE,47.00,0.05250000,2700.2122,4,13
417637,147439,O,60498.03,1998-08-01,2-HIGH,MACHINERY,1452.81,AMERICA,37.00,0.06000000,3726.4224,2,18
501921,81466,O,328195.04,1998-08-01,5-LOW,AUTOMOBILE,1450.82,AFRICA,191.00,0.03714286,11911.8176,7,24
554339,57388,O,54979.85,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,5914.57,EUROPE,38.00,0.07000000,3831.7300,1,17
4464516,133892,O,135345.80,1998-08-01,5-LOW,MACHINERY,4687.25,EUROPE,83.00,0.04000000,4993.6476,3,28
1842756,3082,O,172855.34,1998-08-01,2-HIGH,AUTOMOBILE,1459.59,AFRICA,125.00,0.05500000,9016.6678,6,28
2464224,77047,O,285832.36,1998-08-01,4-NOT SPECIFIED,BUILDING,87.64,EUROPE,166.00,0.06500000,19496.3732,4,23
615521,31711,O,209170.35,1998-08-01,2-HIGH,BUILDING,6419.99,ASIA,142.00,0.03750000,7685.2145,4,26
784032,24403,O,175633.50,1998-08-01,3-MEDIUM,AUTOMOBILE,8760.55,EUROPE,116.00,0.05800000,8895.8153,5,29
1139973,139049,O,118663.28,1998-08-01,2-HIGH,BUILDING,4702.56,AMERICA,80.00,0.06000000,7382.5024,2,19
1231874,27082,O,317213.55,1998-08-01,2-HIGH,MACHINERY,8469.66,AMERICA,236.00,0.04000000,13948.0706,7,17
1688225,124579,O,318561.69,1998-08-01,2-HIGH,HOUSEHOLD,-934.17,MIDDLE EAST,193.00,0.05333333,18333.4157,6,30
37735,86446,O,37428.68,1998-08-01,3-MEDIUM,MACHINERY,6227.50,EUROPE,30.00,0E-8,0.0000,1,20
87015,87086,O,56271.12,1998-08-01,5-LOW,MACHINERY,3276.28,EUROPE,44.00,0.09000000,5351.2272,1,26
4527749,128023,O,80832.42,1998-08-01,1-URGENT,FURNITURE,287.82,ASIA,65.00,0.05750000,2145.8570,4,24
1958562,103999,O,92444.71,1998-08-01,2-HIGH,AUTOMOBILE,4234.26,AFRICA,54.00,0.06000000,8031.0891,3,27
2005761,50923,O,333526.50,1998-08-01,2-HIGH,MACHINERY,171.59,ASIA,200.00,0.05833333,25056.3292,6,28
2153282,40130,O,172165.50,1998-08-01,5-LOW,HOUSEHOLD,3442.41,ASIA,109.00,0.06333333,11180.8800,3,17
3881252,120316,O,235301.95,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,-778.31,ASIA,165.00,0.04857143,11241.4689,7,30
2424006,118598,O,98162.33,1998-08-01,2-HIGH,MACHINERY,197.92,AFRICA,62.00,0.08333333,8482.3213,3,17
5115264,106753,O,222671.15,1998-08-01,4-NOT SPECIFIED,FURNITURE,6146.52,EUROPE,157.00,0.06428571,14682.1178,7,23
5230624,30889,O,82943.26,1998-08-01,2-HIGH,MACHINERY,7042.83,MIDDLE EAST,64.00,0.05666667,6949.2466,3,28
57637,111394,O,78129.83,1998-08-01,1-URGENT,BUILDING,3694.34,MIDDLE EAST,43.00,0.04000000,3042.4392,1,22
4210785,140273,O,14622.04,1998-08-01,1-URGENT,MACHINERY,2783.75,AMERICA,10.00,0.03000000,434.8350,1,17
3147874,61531,O,88567.62,1998-08-01,2-HIGH,AUTOMOBILE,1799.94,EUROPE,59.00,0.09000000,8348.8716,2,27
3726849,149129,O,132347.20,1998-08-01,5-LOW,FURNITURE,3772.13,MIDDLE EAST,83.00,0.05250000,6170.9126,4,30
4078016,56815,O,48835.13,1998-08-01,2-HIGH,AUTOMOBILE,7844.06,AMERICA,26.00,0.03000000,1424.8728,1,30
2874981,16250,O,133879.04,1998-08-01,3-MEDIUM,HOUSEHOLD,4518.22,ASIA,103.00,0.06600000,7738.9404,5,26
4299552,98861,O,195278.14,1998-08-01,1-URGENT,MACHINERY,3189.88,MIDDLE EAST,137.00,0.05500000,9696.8558,6,20
4702499,141080,O,51743.98,1998-08-01,2-HIGH,MACHINERY,266.48,MIDDLE EAST,37.00,0.07000000,3606.2124,1,27
3597633,10738,O,16227.67,1998-08-01,1-URGENT,AUTOMOBILE,6828.74,ASIA,12.00,0.06000000,1025.5536,1,20
3983143,24490,O,76957.35,1998-08-01,5-LOW,FURNITURE,6481.84,AFRICA,50.00,0.03666667,2727.6660,3,17
5937379,23144,O,70141.20,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,6956.17,ASIA,51.00,0.05666667,5860.5384,3,16
910182,31288,O,99090.40,1998-08-01,2-HIGH,FURNITURE,5819.70,AMERICA,59.00,0.05000000,3870.6728,2,17
918277,91195,O,69566.61,1998-08-01,1-URGENT,MACHINERY,7640.08,ASIA,52.00,0.05000000,3054.9279,3,13
1000225,137008,O,67944.27,1998-08-01,4-NOT SPECIFIED,MACHINERY,3467.06,ASIA,34.00,0.01000000,659.9094,1,4
1218118,121427,O,218944.26,1998-08-01,3-MEDIUM,HOUSEHOLD,1426.46,AFRICA,154.00,0.07714286,18797.4158,7,22
432162,81814,O,88537.95,1998-08-01,1-URGENT,BUILDING,-199.35,ASIA,55.00,0.01000000,876.7871,2,30
3083459,45001,O,144220.21,1998-08-01,5-LOW,BUILDING,898.29,ASIA,89.00,0.06500000,6893.7445,4,24
3155427,6206,O,277396.32,1998-08-01,5-LOW,HOUSEHOLD,486.36,MIDDLE EAST,191.00,0.07000000,19554.7804,5,29
2029090,30193,O,81113.77,1998-08-01,5-LOW,MACHINERY,5648.08,MIDDLE EAST,50.00,0.01000000,765.7300,1,4
2730567,110218,O,238731.59,1998-08-01,5-LOW,MACHINERY,1607.12,AFRICA,157.00,0.07333333,18280.5171,6,29
1192903,143776,O,151972.01,1998-08-01,1-URGENT,BUILDING,3310.85,MIDDLE EAST,106.00,0.04333333,7195.2028,3,29
4514051,95486,O,276028.88,1998-08-01,2-HIGH,FURNITURE,3036.85,AFRICA,184.00,0.07333333,23139.0425,6,30
3554405,109786,O,279306.27,1998-08-01,4-NOT SPECIFIED,BUILDING,7464.90,MIDDLE EAST,207.00,0.05571429,17982.1776,7,29
1839367,43819,O,175584.06,1998-08-01,2-HIGH,MACHINERY,7604.98,AFRICA,119.00,0.07166667,12109.2025,6,21
3770819,149056,O,142173.24,1998-08-01,3-MEDIUM,AUTOMOBILE,8852.06,MIDDLE EAST,100.00,0.05000000,8450.0094,4,27
5707686,135299,O,81640.06,1998-08-01,3-MEDIUM,FURNITURE,8108.28,AFRICA,52.00,0.03500000,2887.2844,2,16
2698529,33931,O,54969.14,1998-08-01,4-NOT SPECIFIED,FURNITURE,9778.22,AFRICA,33.00,0.06000000,3310.0650,1,25
2716099,147245,O,97991.13,1998-08-01,3-MEDIUM,MACHINERY,5186.51,AMERICA,73.00,0.04666667,5276.4857,3,30
2850115,123383,O,258474.46,1998-08-01,5-LOW,HOUSEHOLD,-20.08,MIDDLE EAST,165.00,0.05400000,15410.3493,5,26
1361191,99278,O,176118.58,1998-08-01,3-MEDIUM,BUILDING,-577.52,AMERICA,135.00,0.04200000,6576.2083,5,29
1420064,78880,O,96053.19,1998-08-01,5-LOW,MACHINERY,-109.02,ASIA,53.00,0.06000000,6553.5708,2,18
432227,69241,O,181683.09,1998-08-01,1-URGENT,AUTOMOBILE,12.42,ASIA,135.00,0.07400000,12418.5292,5,29
466310,79184,O,223745.74,1998-08-01,2-HIGH,BUILDING,2171.47,EUROPE,165.00,0.07000000,15743.4750,5,17
3527584,5017,O,224722.26,1998-08-01,3-MEDIUM,HOUSEHOLD,3434.04,EUROPE,121.00,0.05250000,10401.6549,4,27
3349345,144413,O,219666.59,1998-08-01,4-NOT SPECIFIED,FURNITURE,316.25,MIDDLE EAST,143.00,0.07200000,16842.4762,5,24
3869925,76903,O,378379.46,1998-08-01,2-HIGH,AUTOMOBILE,-99.35,MIDDLE EAST,232.00,0.02428571,7666.0156,7,17
4016676,94543,O,198444.42,1998-08-01,3-MEDIUM,HOUSEHOLD,-151.77,MIDDLE EAST,144.00,0.05250000,10335.1701,4,29
708837,92092,O,126967.83,1998-08-01,3-MEDIUM,AUTOMOBILE,4633.40,EUROPE,87.00,0.06000000,7645.5954,2,27
1016384,143857,O,60432.18,1998-08-01,4-NOT SPECIFIED,MACHINERY,1969.07,EUROPE,36.00,0.05000000,3400.9472,2,12
59527,122731,O,237851.23,1998-08-01,1-URGENT,BUILDING,182.85,EUROPE,170.00,0.05571429,13909.6572,7,25
4507872,124561,O,93151.24,1998-08-01,2-HIGH,FURNITURE,-691.70,MIDDLE EAST,69.00,0.03000000,3084.5020,2,24
3956102,80350,O,190154.25,1998-08-01,2-HIGH,AUTOMOBILE,1091.69,ASIA,159.00,0.05000000,12514.7273,6,27
5802529,74785,O,48217.61,1998-08-01,2-HIGH,FURNITURE,6246.90,AMERICA,25.00,0.03000000,1433.9100,1,19
1188359,125620,O,202876.27,1998-08-01,2-HIGH,MACHINERY,9840.19,MIDDLE EAST,142.00,0.04166667,11033.9624,6,26
5395044,134743,O,37178.06,1998-08-01,3-MEDIUM,FURNITURE,7364.33,MIDDLE EAST,25.00,0.02000000,730.7090,3,28
234215,24736,O,36834.07,1998-08-01,1-URGENT,BUILDING,5474.34,AMERICA,20.00,0.08000000,2993.4240,1,5
212006,107365,O,294624.64,1998-08-01,1-URGENT,MACHINERY,7230.10,AMERICA,194.00,0.07000000,22399.4674,7,29
4223041,100370,O,195016.33,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,4344.61,AMERICA,126.00,0.06666667,9943.8988,6,25
4286022,133807,O,22517.07,1998-08-01,2-HIGH,MACHINERY,9076.19,AFRICA,13.00,0.10000000,2452.8400,1,20
4415552,67694,O,60801.58,1998-08-01,5-LOW,MACHINERY,306.41,EUROPE,36.00,0.02000000,818.2296,2,23
3444390,78188,O,2705.82,1998-08-01,2-HIGH,BUILDING,4118.36,EUROPE,2.00,0.01000000,25.5436,1,30
3516288,56686,O,250699.08,1998-08-01,3-MEDIUM,HOUSEHOLD,2650.62,EUROPE,165.00,0.06500000,12976.4156,6,10
3834661,44227,O,269684.38,1998-08-01,1-URGENT,MACHINERY,632.05,AMERICA,183.00,0.05000000,13775.9393,7,29
5858720,61117,O,430942.94,1998-08-01,3-MEDIUM,AUTOMOBILE,-746.40,EUROPE,245.00,0.05285714,24251.7537,7,29
2822178,59645,O,95546.02,1998-08-01,3-MEDIUM,FURNITURE,8677.71,AMERICA,77.00,0.06000000,8051.2560,3,30
774563,4519,O,245858.33,1998-08-01,4-NOT SPECIFIED,FURNITURE,4296.76,AFRICA,185.00,0.04428571,8757.7731,7,28
3227110,9926,O,210433.94,1998-08-01,3-MEDIUM,MACHINERY,9185.64,ASIA,138.00,0.04600000,9053.4422,5,24
3854240,134743,O,175561.04,1998-08-01,3-MEDIUM,FURNITURE,7364.33,MIDDLE EAST,131.00,0.05200000,9088.4883,5,24
5487172,80275,O,213318.40,1998-08-01,5-LOW,HOUSEHOLD,6747.50,EUROPE,152.00,0.05666667,12334.0489,6,28
5540198,91057,O,247765.10,1998-08-01,2-HIGH,FURNITURE,3500.35,AFRICA,173.00,0.05500000,12099.4249,6,23
5540647,129938,O,119620.77,1998-08-01,1-URGENT,BUILDING,1836.84,AFRICA,78.00,0.04250000,3457.5776,4,30
2479522,97189,O,299901.35,1998-08-01,2-HIGH,AUTOMOBILE,7651.69,AFRICA,207.00,0.06285714,17021.5684,7,30
1645505,36916,O,289104.25,1998-08-01,2-HIGH,HOUSEHOLD,7351.37,AFRICA,182.00,0.06142857,18543.3640,7,30
1628290,37880,O,197111.98,1998-08-01,4-NOT SPECIFIED,FURNITURE,-443.60,AFRICA,138.00,0.03833333,7582.3110,6,27
4959271,54104,O,154893.55,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,9442.64,AFRICA,88.00,0.08333333,11972.4372,3,23
3296038,26461,O,34169.61,1998-08-01,5-LOW,MACHINERY,3798.06,AMERICA,29.00,0.06500000,2486.6550,2,7
3301090,15859,O,298570.60,1998-08-01,1-URGENT,AUTOMOBILE,5880.10,ASIA,207.00,0.05285714,18826.9862,7,29
1964706,115217,O,84436.28,1998-08-01,2-HIGH,AUTOMOBILE,9197.99,MIDDLE EAST,46.00,0.05666667,4513.1740,3,28
2280837,30413,O,206793.40,1998-08-01,1-URGENT,AUTOMOBILE,5068.55,ASIA,149.00,0.04800000,7536.0998,5,29
4119879,148768,O,206925.42,1998-08-01,3-MEDIUM,AUTOMOBILE,8530.21,EUROPE,134.00,0.07000000,10620.7275,5,30
5588103,79861,O,48285.60,1998-08-01,1-URGENT,MACHINERY,87.50,AFRICA,38.00,0.02000000,862.4640,2,19
2613124,59758,O,177390.18,1998-08-01,1-URGENT,HOUSEHOLD,1213.76,EUROPE,123.00,0.05142857,13179.1770,7,24
2762564,145072,O,183312.42,1998-08-01,5-LOW,HOUSEHOLD,9675.16,MIDDLE EAST,117.00,0.05000000,7654.3651,4,30
865760,7643,O,239075.89,1998-08-01,3-MEDIUM,BUILDING,8352.96,AFRICA,183.00,0.05166667,15861.0732,6,30
1135072,93596,O,75273.99,1998-08-01,3-MEDIUM,BUILDING,2038.78,AMERICA,51.00,0.06000000,4226.1737,3,24
1530564,52471,O,152562.00,1998-08-01,3-MEDIUM,BUILDING,7937.84,ASIA,113.00,0.03500000,7632.3470,4,21
5003395,3284,O,93845.42,1998-08-01,1-URGENT,BUILDING,1138.76,AFRICA,63.00,0.07666667,7786.4352,3,29
5357413,64603,O,251120.30,1998-08-01,1-URGENT,AUTOMOBILE,8875.76,AMERICA,186.00,0.06166667,18226.1065,6,25
187847,35227,O,66487.59,1998-08-01,5-LOW,HOUSEHOLD,1590.12,AMERICA,57.00,0.07333333,5815.2583,3,25
5834304,49828,O,167055.42,1998-08-01,4-NOT SPECIFIED,FURNITURE,333.10,ASIA,105.00,0.07000000,13334.4678,4,29
5209376,3695,O,75990.58,1998-08-01,4-NOT SPECIFIED,FURNITURE,1157.42,ASIA,43.00,0.02333333,2727.5500,3,23
5235173,129910,O,234376.15,1998-08-01,1-URGENT,AUTOMOBILE,1526.91,MIDDLE EAST,189.00,0.03666667,8619.3694,6,24
176228,63194,O,223664.52,1998-08-01,5-LOW,FURNITURE,439.96,MIDDLE EAST,171.00,0.06166667,11720.8926,6,26
3541184,63823,O,52342.51,1998-08-01,2-HIGH,AUTOMOBILE,7140.52,AMERICA,41.00,0.04000000,1925.0480,3,25
3554694,139717,O,134601.93,1998-08-01,1-URGENT,MACHINERY,3738.83,EUROPE,78.00,0.05250000,8031.3448,4,30
1817927,27955,O,124381.84,1998-08-01,2-HIGH,MACHINERY,6540.98,MIDDLE EAST,90.00,0.03200000,4898.2416,5,29
1890213,6383,O,164287.59,1998-08-01,3-MEDIUM,MACHINERY,9130.34,ASIA,132.00,0.05200000,9919.7899,5,19
2383522,96317,O,129519.33,1998-08-01,1-URGENT,MACHINERY,4465.29,AFRICA,97.00,0.08666667,11839.6770,3,23
3836612,72739,O,186567.67,1998-08-01,3-MEDIUM,MACHINERY,5321.06,MIDDLE EAST,128.00,0.04500000,6474.7242,6,24
2917185,125665,O,135971.75,1998-08-01,2-HIGH,AUTOMOBILE,544.19,MIDDLE EAST,105.00,0.03000000,4440.7768,3,28
733376,430,O,98188.10,1998-08-01,4-NOT SPECIFIED,BUILDING,7905.17,AMERICA,64.00,0.07000000,7559.1552,2,26
921216,91729,O,119935.09,1998-08-01,5-LOW,BUILDING,7203.95,ASIA,68.00,0.05500000,6788.9694,2,9
5093345,29332,O,99826.62,1998-08-01,2-HIGH,AUTOMOBILE,5376.74,AFRICA,72.00,0.03400000,1481.7030,5,25
4580965,133099,O,39879.98,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,8371.24,ASIA,42.00,0.08000000,3366.8208,1,28
3445059,63115,O,137099.89,1998-08-01,4-NOT SPECIFIED,MACHINERY,6700.89,AFRICA,114.00,0.04000000,6084.3966,5,27
2326818,126515,O,358080.05,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,5327.90,AMERICA,227.00,0.06428571,22470.6788,7,20
5596037,145516,O,270176.39,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,4189.89,ASIA,197.00,0.05285714,14025.0308,7,27
2647047,36653,O,44975.53,1998-08-01,5-LOW,BUILDING,1259.41,AMERICA,35.00,0.02000000,917.8680,1,1
803943,56383,O,164615.49,1998-08-01,2-HIGH,AUTOMOBILE,1910.98,AFRICA,103.00,0.05000000,8972.6701,4,15
1073413,143086,O,43948.01,1998-08-01,5-LOW,AUTOMOBILE,7107.03,ASIA,29.00,0.04000000,1795.2624,1,15
