O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK
2495714,23713,O,82141.68,1998-08-01,2-HIGH,Clerk#000000316
2496674,46885,O,178048.47,1998-08-01,1-URGENT,Clerk#000000681
2505920,143896,O,138747.00,1998-08-01,3-MEDIUM,Clerk#000000293
2513094,21403,O,68973.89,1998-08-01,5-LOW,Clerk#000000204
2528865,92779,O,3703.76,1998-08-01,1-URGENT,Clerk#000000198
2534339,19765,O,39937.02,1998-08-01,1-URGENT,Clerk#000000581
2538788,117934,O,60099.96,1998-08-01,4-NOT SPECIFIED,Clerk#000000615
2544192,108674,O,134954.22,1998-08-01,1-URGENT,Clerk#000000924
2552997,9002,O,57927.61,1998-08-01,5-LOW,Clerk#000000119
2560386,114239,O,97609.53,1998-08-01,2-HIGH,Clerk#000000188
2587014,63592,O,231410.39,1998-08-01,4-NOT SPECIFIED,Clerk#000000686
2612486,60901,O,238306.97,1998-08-01,5-LOW,Clerk#000000919
2613124,59758,O,177390.18,1998-08-01,1-URGENT,Clerk#000000139
2614562,82148,O,26326.46,1998-08-01,5-LOW,Clerk#000000771
2622275,102074,O,230612.73,1998-08-01,5-LOW,Clerk#000000114
2637251,147563,O,61946.84,1998-08-01,4-NOT SPECIFIED,Clerk#000000606
2647047,36653,O,44975.53,1998-08-01,5-LOW,Clerk#000000820
2660390,63898,O,176275.57,1998-08-01,3-MEDIUM,Clerk#000000055
2698529,33931,O,54969.14,1998-08-01,4-NOT SPECIFIED,Clerk#000000617
2699750,72955,O,29950.59,1998-08-01,4-NOT SPECIFIED,Clerk#000000666
2700800,122143,O,90291.38,1998-08-01,4-NOT SPECIFIED,Clerk#000000375
2716099,147245,O,97991.13,1998-08-01,3-MEDIUM,Clerk#000000860
2718566,41633,O,125148.62,1998-08-01,5-LOW,Clerk#000000357
2730086,10537,O,148856.92,1998-08-01,2-HIGH,Clerk#000000664
2730567,110218,O,238731.59,1998-08-01,5-LOW,Clerk#000000021
2734471,107704,O,201993.22,1998-08-01,3-MEDIUM,Clerk#000000231
2762564,145072,O,183312.42,1998-08-01,5-LOW,Clerk#000000094
2779302,2798,O,108351.31,1998-08-01,4-NOT SPECIFIED,Clerk#000000415
2779968,57343,O,48762.27,1998-08-01,3-MEDIUM,Clerk#000000004
2781061,67445,O,168682.27,1998-08-01,5-LOW,Clerk#000000024
2811750,18707,O,213442.93,1998-08-01,2-HIGH,Clerk#000000032
2822178,59645,O,95546.02,1998-08-01,3-MEDIUM,Clerk#000000565
2831938,76342,O,122480.82,1998-08-01,4-NOT SPECIFIED,Clerk#000000770
2836132,5116,O,21912.79,1998-08-01,1-URGENT,Clerk#000000446
2841888,138418,O,283245.80,1998-08-01,2-HIGH,Clerk#000000022
2846116,145433,O,184987.00,1998-08-01,5-LOW,Clerk#000000068
2847842,92162,O,120372.34,1998-08-01,4-NOT SPECIFIED,Clerk#000000862
2848612,148120,O,62246.48,1998-08-01,3-MEDIUM,Clerk#000000228
2850115,123383,O,258474.46,1998-08-01,5-LOW,Clerk#000000075
2851488,124424,O,358353.23,1998-08-01,4-NOT SPECIFIED,Clerk#000000108
2855909,134887,O,41418.39,1998-08-01,3-MEDIUM,Clerk#000000926
2861825,121981,O,241555.22,1998-08-01,3-MEDIUM,Clerk#000000464
2862848,3986,O,342461.12,1998-08-01,5-LOW,Clerk#000000237
2867045,13810,O,310227.20,1998-08-01,4-NOT SPECIFIED,Clerk#000000230
2868994,145355,O,80810.76,1998-08-01,2-HIGH,Clerk#000000626
2874981,16250,O,133879.04,1998-08-01,3-MEDIUM,Clerk#000000131
2880418,120445,O,336666.98,1998-08-01,2-HIGH,Clerk#000000341
2904995,19028,O,92466.45,1998-08-01,4-NOT SPECIFIED,Clerk#000000423
2905030,72160,O,80841.76,1998-08-01,1-URGENT,Clerk#000000940
2906211,65327,O,97040.46,1998-08-01,4-NOT SPECIFIED,Clerk#000000128
2910945,130856,O,183361.25,1998-08-01,3-MEDIUM,Clerk#000000804
2917185,125665,O,135971.75,1998-08-01,2-HIGH,Clerk#000000974
2917665,1304,O,80812.77,1998-08-01,5-LOW,Clerk#000000489
2922726,37270,O,183609.01,1998-08-01,4-NOT SPECIFIED,Clerk#000000073
2925508,108449,O,224144.09,1998-08-01,5-LOW,Clerk#000000675
2931938,96088,O,87636.30,1998-08-01,3-MEDIUM,Clerk#000000109
2954721,88546,O,201714.69,1998-08-01,1-URGENT,Clerk#000000903
2955940,83747,O,194882.41,1998-08-01,3-MEDIUM,Clerk#000000903
2959974,136373,O,84322.12,1998-08-01,2-HIGH,Clerk#000000347
2963558,97874,O,172925.54,1998-08-01,2-HIGH,Clerk#000000668
2996260,80824,O,10998.21,1998-08-01,3-MEDIUM,Clerk#000000519
2997126,82267,O,191875.70,1998-08-01,2-HIGH,Clerk#000000447
609318,39581,O,14279.54,1998-08-01,2-HIGH,Clerk#000000580
615521,31711,O,209170.35,1998-08-01,2-HIGH,Clerk#000000562
650374,50614,O,293111.71,1998-08-01,4-NOT SPECIFIED,Clerk#000000618
660327,128054,O,18628.61,1998-08-01,2-HIGH,Clerk#000000628
666754,46192,O,3414.09,1998-08-01,1-URGENT,Clerk#000000666
677669,119411,O,81327.66,1998-08-01,2-HIGH,Clerk#000000025
687879,23158,O,64781.48,1998-08-01,1-URGENT,Clerk#000000741
698785,91282,O,190250.60,1998-08-01,4-NOT SPECIFIED,Clerk#000000712
708837,92092,O,126967.83,1998-08-01,3-MEDIUM,Clerk#000000605
712967,3655,O,17213.78,1998-08-01,5-LOW,Clerk#000000470
712996,120343,O,125850.70,1998-08-01,3-MEDIUM,Clerk#000000475
714150,93488,O,8359.31,1998-08-01,3-MEDIUM,Clerk#000000509
719557,116080,O,93171.87,1998-08-01,2-HIGH,Clerk#000000837
724839,80161,O,47090.00,1998-08-01,3-MEDIUM,Clerk#000000580
726624,115714,O,127481.08,1998-08-01,5-LOW,Clerk#000000156
732869,109381,O,8190.69,1998-08-01,4-NOT SPECIFIED,Clerk#000000445
733376,430,O,98188.10,1998-08-01,4-NOT SPECIFIED,Clerk#000000552
733728,138853,O,192709.11,1998-08-01,1-URGENT,Clerk#000000921
735842,102703,O,65437.21,1998-08-01,3-MEDIUM,Clerk#000000039
745636,36280,O,342116.81,1998-08-01,5-LOW,Clerk#000000652
752293,77765,O,395335.34,1998-08-01,2-HIGH,Clerk#000000090
762435,116026,O,141617.86,1998-08-01,1-URGENT,Clerk#000000747
774563,4519,O,245858.33,1998-08-01,4-NOT SPECIFIED,Clerk#000000205
782053,49504,O,52531.55,1998-08-01,4-NOT SPECIFIED,Clerk#000000806
784032,24403,O,175633.50,1998-08-01,3-MEDIUM,Clerk#000000268
785792,42484,O,148878.97,1998-08-01,2-HIGH,Clerk#000000007
796067,13495,O,222005.50,1998-08-01,4-NOT SPECIFIED,Clerk#000000713
803943,56383,O,164615.49,1998-08-01,2-HIGH,Clerk#000000725
823107,75566,O,150900.30,1998-08-01,2-HIGH,Clerk#000000523
834119,62110,O,332109.64,1998-08-01,4-NOT SPECIFIED,Clerk#000000881
852229,114005,O,61837.78,1998-08-01,5-LOW,Clerk#000000791
865760,7643,O,239075.89,1998-08-01,3-MEDIUM,Clerk#000000871
869218,59551,O,115496.53,1998-08-01,5-LOW,Clerk#000000122
873633,20456,O,200350.68,1998-08-01,1-URGENT,Clerk#000000633
891489,119354,O,167994.52,1998-08-01,3-MEDIUM,Clerk#000000137
901511,126730,O,93287.64,1998-08-01,3-MEDIUM,Clerk#000000596
910182,31288,O,99090.40,1998-08-01,2-HIGH,Clerk#000000223
914144,8788,O,124541.61,1998-08-01,3-MEDIUM,Clerk#000000816
918277,91195,O,69566.61,1998-08-01,1-URGENT,Clerk#000000536
921216,91729,O,119935.09,1998-08-01,5-LOW,Clerk#000000852
935845,91759,O,160759.01,1998-08-01,5-LOW,Clerk#000000003
950304,142966,O,102483.47,1998-08-01,1-URGENT,Clerk#000000705
961379,446,O,129550.28,1998-08-01,2-HIGH,Clerk#000000288
967651,136480,O,170709.68,1998-08-01,3-MEDIUM,Clerk#000000571
982503,4979,O,34724.45,1998-08-01,2-HIGH,Clerk#000000934
992839,25906,O,195409.63,1998-08-01,5-LOW,Clerk#000000525
1000225,137008,O,67944.27,1998-08-01,4-NOT SPECIFIED,Clerk#000000262
1007238,67135,O,6494.81,1998-08-01,5-LOW,Clerk#000000911
1007364,44594,O,232426.89,1998-08-01,2-HIGH,Clerk#000000232
1011840,139070,O,180101.34,1998-08-01,5-LOW,Clerk#000000719
1016384,143857,O,60432.18,1998-08-01,4-NOT SPECIFIED,Clerk#000000022
1034596,43787,O,221422.78,1998-08-01,1-URGENT,Clerk#000000596
1053060,59629,O,89102.60,1998-08-01,3-MEDIUM,Clerk#000000664
1055138,125566,O,238430.41,1998-08-01,4-NOT SPECIFIED,Clerk#000000475
1061280,17692,O,76067.43,1998-08-01,2-HIGH,Clerk#000000095
1064421,44455,O,93037.43,1998-08-01,2-HIGH,Clerk#000000627
1073413,143086,O,43948.01,1998-08-01,5-LOW,Clerk#000000051
1074721,106894,O,115741.40,1998-08-01,1-URGENT,Clerk#000000255
1093922,58619,O,106694.96,1998-08-01,4-NOT SPECIFIED,Clerk#000000783
1097414,106220,O,171216.66,1998-08-01,4-NOT SPECIFIED,Clerk#000000903
1135072,93596,O,75273.99,1998-08-01,3-MEDIUM,Clerk#000000697
1139879,68096,O,331331.26,1998-08-01,4-NOT SPECIFIED,Clerk#000000621
1139973,139049,O,118663.28,1998-08-01,2-HIGH,Clerk#000000579
1142498,95243,O,209559.09,1998-08-01,3-MEDIUM,Clerk#000000166
1147649,72551,O,193049.61,1998-08-01,5-LOW,Clerk#000000073
1150502,103784,O,269351.36,1998-08-01,1-URGENT,Clerk#000000710
1160775,48082,O,224158.97,1998-08-01,4-NOT SPECIFIED,Clerk#000000055
1168481,124075,O,87009.07,1998-08-01,2-HIGH,Clerk#000000292
1170343,73276,O,45367.06,1998-08-01,4-NOT SPECIFIED,Clerk#000000340
1188359,125620,O,202876.27,1998-08-01,2-HIGH,Clerk#000000133
1192903,143776,O,151972.01,1998-08-01,1-URGENT,Clerk#000000002
1195008,5824,O,154977.86,1998-08-01,3-MEDIUM,Clerk#000000143
4842402,6766,O,170240.89,1998-08-01,2-HIGH,Clerk#000000759
4862498,31048,O,162577.05,1998-08-01,4-NOT SPECIFIED,Clerk#000000807
4863872,126235,O,123557.37,1998-08-01,4-NOT SPECIFIED,Clerk#000000469
4885792,46778,O,61656.60,1998-08-01,4-NOT SPECIFIED,Clerk#000000677
4886310,74500,O,189782.05,1998-08-01,4-NOT SPECIFIED,Clerk#000000506
4906021,55679,O,298749.70,1998-08-01,2-HIGH,Clerk#000000616
4939329,32416,O,292493.59,1998-08-01,5-LOW,Clerk#000000634
4953762,4016,O,215752.71,1998-08-01,1-URGENT,Clerk#000000580
4955718,43876,O,36552.25,1998-08-01,4-NOT SPECIFIED,Clerk#000000635
4955810,145549,O,353565.46,1998-08-01,1-URGENT,Clerk#000000789
4959271,54104,O,154893.55,1998-08-01,4-NOT SPECIFIED,Clerk#000000002
4960738,86299,O,230351.77,1998-08-01,4-NOT SPECIFIED,Clerk#000000248
4960836,14309,O,215306.36,1998-08-01,1-URGENT,Clerk#000000882
4972418,143261,O,285912.65,1998-08-01,4-NOT SPECIFIED,Clerk#000000349
4972800,28943,O,10995.69,1998-08-01,1-URGENT,Clerk#000000767
4988065,39763,O,65860.16,1998-08-01,5-LOW,Clerk#000000016
5003395,3284,O,93845.42,1998-08-01,1-URGENT,Clerk#000000643
5009957,103081,O,56283.15,1998-08-01,1-URGENT,Clerk#000000849
5034148,99613,O,137012.14,1998-08-01,5-LOW,Clerk#000000891
5034918,65407,O,139755.03,1998-08-01,3-MEDIUM,Clerk#000000185
5046305,14966,O,57135.67,1998-08-01,1-URGENT,Clerk#000000801
5053092,96419,O,37940.57,1998-08-01,2-HIGH,Clerk#000000362
5062149,23297,O,173762.80,1998-08-01,4-NOT SPECIFIED,Clerk#000000163
5071431,125935,O,89718.05,1998-08-01,1-URGENT,Clerk#000000384
5077248,49622,O,139601.05,1998-08-01,2-HIGH,Clerk#000000785
5077926,42298,O,151905.10,1998-08-01,2-HIGH,Clerk#000000112
5078946,1912,O,58263.13,1998-08-01,4-NOT SPECIFIED,Clerk#000000971
5079651,91922,O,186961.96,1998-08-01,2-HIGH,Clerk#000000061
5093345,29332,O,99826.62,1998-08-01,2-HIGH,Clerk#000000505
5099297,88177,O,313624.08,1998-08-01,3-MEDIUM,Clerk#000000305
5100708,8518,O,306893.12,1998-08-01,2-HIGH,Clerk#000000103
5104391,130102,O,80574.84,1998-08-01,5-LOW,Clerk#000000864
5115264,106753,O,222671.15,1998-08-01,4-NOT SPECIFIED,Clerk#000000118
5156640,89101,O,82399.20,1998-08-01,2-HIGH,Clerk#000000956
5168903,72734,O,204566.89,1998-08-01,4-NOT SPECIFIED,Clerk#000000739
5176258,106291,O,101504.45,1998-08-01,2-HIGH,Clerk#000000462
5187171,147631,O,4145.19,1998-08-01,5-LOW,Clerk#000000771
5202305,72917,O,91682.79,1998-08-01,2-HIGH,Clerk#000000542
5209376,3695,O,75990.58,1998-08-01,4-NOT SPECIFIED,Clerk#000000704
5229316,9604,O,283545.15,1998-08-01,2-HIGH,Clerk#000000379
5230624,30889,O,82943.26,1998-08-01,2-HIGH,Clerk#000000191
5235173,129910,O,234376.15,1998-08-01,1-URGENT,Clerk#000000316
5235265,15868,O,143354.43,1998-08-01,4-NOT SPECIFIED,Clerk#000000229
5235527,69197,O,59070.37,1998-08-01,2-HIGH,Clerk#000000019
5245442,99280,O,137682.26,1998-08-01,1-URGENT,Clerk#000000774
5248038,86527,O,147627.20,1998-08-01,2-HIGH,Clerk#000000607
5260483,36241,O,52140.21,1998-08-01,1-URGENT,Clerk#000000730
5322855,64612,O,169955.74,1998-08-01,5-LOW,Clerk#000000844
5330178,66329,O,151217.90,1998-08-01,3-MEDIUM,Clerk#000000973
5337410,31967,O,44158.52,1998-08-01,4-NOT SPECIFIED,Clerk#000000880
5353889,99154,O,173648.48,1998-08-01,1-URGENT,Clerk#000000859
5355428,20104,O,223316.37,1998-08-01,3-MEDIUM,Clerk#000000202
5357413,64603,O,251120.30,1998-08-01,1-URGENT,Clerk#000000476
5358017,61897,O,49954.95,1998-08-01,5-LOW,Clerk#000000524
5359426,144122,O,210370.88,1998-08-01,3-MEDIUM,Clerk#000000891
5365765,83893,O,159522.42,1998-08-01,5-LOW,Clerk#000000829
5378951,135475,O,281531.97,1998-08-01,5-LOW,Clerk#000000148
5382694,145360,O,121597.44,1998-08-01,3-MEDIUM,Clerk#000000581
5393638,99781,O,149876.62,1998-08-01,4-NOT SPECIFIED,Clerk#000000270
5395044,134743,O,37178.06,1998-08-01,3-MEDIUM,Clerk#000000743
1817927,27955,O,124381.84,1998-08-01,2-HIGH,Clerk#000000209
1829539,2131,O,91886.18,1998-08-01,4-NOT SPECIFIED,Clerk#000000899
1835973,129718,O,26524.51,1998-08-01,1-URGENT,Clerk#000000099
1839367,43819,O,175584.06,1998-08-01,2-HIGH,Clerk#000000417
1842756,3082,O,172855.34,1998-08-01,2-HIGH,Clerk#000000846
1844038,145136,O,38268.00,1998-08-01,2-HIGH,Clerk#000000947
1848902,87017,O,64554.38,1998-08-01,2-HIGH,Clerk#000000459
1878947,48224,O,65282.19,1998-08-01,5-LOW,Clerk#000000752
1879043,123856,O,95505.05,1998-08-01,2-HIGH,Clerk#000000980
1885575,21047,O,86636.74,1998-08-01,2-HIGH,Clerk#000000433
1890213,6383,O,164287.59,1998-08-01,3-MEDIUM,Clerk#000000260
1892356,129988,O,219974.61,1998-08-01,4-NOT SPECIFIED,Clerk#000000243
1913863,130739,O,150067.89,1998-08-01,2-HIGH,Clerk#000000606
1915680,123851,O,269281.07,1998-08-01,1-URGENT,Clerk#000000521
1916769,15712,O,68952.82,1998-08-01,2-HIGH,Clerk#000000593
1926566,70159,O,223968.27,1998-08-01,1-URGENT,Clerk#000000729
1931044,60298,O,183701.11,1998-08-01,4-NOT SPECIFIED,Clerk#000000557
1932549,75130,O,126890.56,1998-08-01,5-LOW,Clerk#000000578
1939911,87928,O,234521.15,1998-08-01,5-LOW,Clerk#000000870
1947265,53872,O,186163.56,1998-08-01,1-URGENT,Clerk#000000183
1958562,103999,O,92444.71,1998-08-01,2-HIGH,Clerk#000000747
1964004,130231,O,50201.04,1998-08-01,1-URGENT,Clerk#000000623
1964706,115217,O,84436.28,1998-08-01,2-HIGH,Clerk#000000414
1971397,35761,O,86812.41,1998-08-01,4-NOT SPECIFIED,Clerk#000000457
1979812,81766,O,135079.96,1998-08-01,4-NOT SPECIFIED,Clerk#000000951
1979813,68344,O,202023.19,1998-08-01,4-NOT SPECIFIED,Clerk#000000662
2002496,79040,O,240426.12,1998-08-01,3-MEDIUM,Clerk#000000520
2005761,50923,O,333526.50,1998-08-01,2-HIGH,Clerk#000000236
2019239,18739,O,187943.92,1998-08-01,2-HIGH,Clerk#000000587
2023776,145996,O,270883.25,1998-08-01,2-HIGH,Clerk#000000928
2024962,95236,O,191675.35,1998-08-01,4-NOT SPECIFIED,Clerk#000000412
2028576,65260,O,183343.39,1998-08-01,4-NOT SPECIFIED,Clerk#000000615
2029090,30193,O,81113.77,1998-08-01,5-LOW,Clerk#000000532
2038309,87877,O,226766.92,1998-08-01,5-LOW,Clerk#000000872
2059010,12682,O,278185.95,1998-08-01,1-URGENT,Clerk#000000756
2059748,18493,O,193747.78,1998-08-01,4-NOT SPECIFIED,Clerk#000000326
2061764,3685,O,55074.97,1998-08-01,3-MEDIUM,Clerk#000000841
2064070,42346,O,236414.62,1998-08-01,1-URGENT,Clerk#000000366
2071302,93464,O,83289.07,1998-08-01,4-NOT SPECIFIED,Clerk#000000626
2076038,91891,O,113557.72,1998-08-01,1-URGENT,Clerk#000000240
2085990,18250,O,90302.41,1998-08-01,1-URGENT,Clerk#000000947
2096321,17968,O,219034.35,1998-08-01,1-URGENT,Clerk#000000296
2120706,40159,O,102171.77,1998-08-01,5-LOW,Clerk#000000856
2123111,113212,O,150484.58,1998-08-01,3-MEDIUM,Clerk#000000928
2138695,102923,O,149324.21,1998-08-01,5-LOW,Clerk#000000499
2145536,69967,O,139810.45,1998-08-01,2-HIGH,Clerk#000000429
2153282,40130,O,172165.50,1998-08-01,5-LOW,Clerk#000000880
2161127,131149,O,195660.57,1998-08-01,1-URGENT,Clerk#000000484
2207908,83407,O,38312.18,1998-08-01,5-LOW,Clerk#000000419
2214144,11071,O,191359.40,1998-08-01,4-NOT SPECIFIED,Clerk#000000063
2221923,79739,O,155660.65,1998-08-01,4-NOT SPECIFIED,Clerk#000000756
2233350,73048,O,183797.73,1998-08-01,4-NOT SPECIFIED,Clerk#000000678
2240994,48145,O,246580.54,1998-08-01,1-URGENT,Clerk#000000944
2267810,149378,O,7355.06,1998-08-01,3-MEDIUM,Clerk#000000142
2280837,30413,O,206793.40,1998-08-01,1-URGENT,Clerk#000000074
2304420,41974,O,110624.98,1998-08-01,1-URGENT,Clerk#000000410
2305893,34849,O,125794.46,1998-08-01,5-LOW,Clerk#000000918
2316964,114211,O,110409.63,1998-08-01,4-NOT SPECIFIED,Clerk#000000643
2326818,126515,O,358080.05,1998-08-01,4-NOT SPECIFIED,Clerk#000000376
2353637,94520,O,358040.95,1998-08-01,4-NOT SPECIFIED,Clerk#000000614
2383522,96317,O,129519.33,1998-08-01,1-URGENT,Clerk#000000716
2397892,40573,O,58020.33,1998-08-01,2-HIGH,Clerk#000000881
