s as junk: [
Discarding this as junk: , 
Discarding this as junk: ) 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: ’ 
Discarding this as junk: . 
Discarding this as junk: – 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: : 
Discarding this as junk: ! 
Discarding this as junk: . 
Discarding this as junk: “ 
Discarding this as junk: ” 
Discarding this as junk: ( 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: : 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: “ 
Discarding this as junk: ” 
Discarding this as junk: 28 
Discarding this as junk: – 
Discarding this as junk: ! 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: . 
Discarding this as junk: ( 
Discarding this as junk: . 
Discarding this as junk: ) 
Discarding this as junk: , 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: 2 
Discarding this as junk: ) 
Discarding this as junk: µ 
Discarding this as junk: ) 
Discarding this as junk: 2 
Discarding this as junk: ) 
Discarding this as junk: 1 
Discarding this as junk: ) 
Discarding this as junk: 3 
Discarding this as junk: . 
Discarding this as junk: – 
Discarding this as junk: , 
Discarding this as junk: - 
Discarding this as junk: , 
Discarding this as junk: 28 
Discarding this as junk: , 
Discarding this as junk: : 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: : 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: — 
Discarding this as junk: . 
Discarding this as junk: ˙ 
Discarding this as junk: , 
Discarding this as junk: 1 
Discarding this as junk: ) 
Discarding this as junk: 2 
Discarding this as junk: ) 
Discarding this as junk: ) 
Discarding this as junk: 3 
Discarding this as junk: ) 
Discarding this as junk: 1 
Discarding this as junk: ) 
Discarding this as junk: 2 
Discarding this as junk: ) 
Discarding this as junk: ) 
Discarding this as junk: ) 
Discarding this as junk: 3 
Discarding this as junk: ) 
Discarding this as junk: 1 
Discarding this as junk: 2 
Discarding this as junk: ) 
Discarding this as junk: ) 
Discarding this as junk: 3 
Discarding this as junk: ) 
Discarding this as junk: 2 
Discarding this as junk: 1 
Discarding this as junk: ) 
Discarding this as junk: ) 
Discarding this as junk: 3 
Discarding this as junk: ) 
Discarding this as junk: ) 
Discarding this as junk: 2 
Discarding this as junk: ) 
Discarding this as junk: 1 
Discarding this as junk: ) 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: ) 
Discarding this as junk: 3 
Discarding this as junk: ) 
Discarding this as junk: 2 
Discarding this as junk: 59 
Discarding this as junk: 3 
Discarding this as junk: ) 
Discarding this as junk: 86 
Discarding this as junk: 2000 
Discarding this as junk: • 
Discarding this as junk: 3 
Discarding this as junk: 2 
Discarding this as junk: ) 
Discarding this as junk: ) 
Discarding this as junk: ) 
Discarding this as junk: ) 
Discarding this as junk: ) 
Discarding this as junk: 1 
Discarding this as junk: ) 
Discarding this as junk: 1 
Discarding this as junk: 3 
Discarding this as junk: ) 
Discarding this as junk: 2 
Discarding this as junk: ) 
Discarding this as junk: 3 
Discarding this as junk: ) 
Discarding this as junk: ) 
Discarding this as junk: . 
Discarding this as junk: µ 
Discarding this as junk: å 
Discarding this as junk: ! 
Discarding this as junk: . 
Discarding this as junk: “ 
Discarding this as junk: ˙ 
Discarding this as junk: å 
Discarding this as junk: , 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: 4 
Discarding this as junk: , 
Discarding this as junk: = 
Discarding this as junk: , 
Discarding this as junk: µ 
Discarding this as junk: , 
Discarding this as junk: 9 
Discarding this as junk: µ 
Discarding this as junk: . 
Discarding this as junk: µ 
Discarding this as junk: µ 
Discarding this as junk: . 
Discarding this as junk: ! 
Discarding this as junk: 2000 
Discarding this as junk: • 
Discarding this as junk: 86 
Discarding this as junk: 11 
Discarding this as junk: ! 
Discarding this as junk: . 
Discarding this as junk: ’ 
Discarding this as junk: ‘ 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: : 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: – 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: . 
Discarding this as junk: ; 
Discarding this as junk: ) 
Discarding this as junk: . 
Discarding this as junk: ? 
Discarding this as junk: , 
Discarding this as junk: . 
Discarding this as junk: ® 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: µ 
Discarding this as junk: . 
Discarding this as junk: ® 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: — 
Discarding this as junk: ! 
Discarding this as junk: , 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: ˜ 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: ˙ 
Discarding this as junk: . 
Discarding this as junk: 60 
Discarding this as junk: . 
Discarding this as junk: • 
Discarding this as junk: 86 
Discarding this as junk: 2000 
Discarding this as junk: 5 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: . 
Discarding this as junk: - 
Discarding this as junk: , 
Discarding this as junk: . 
Discarding this as junk: – 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: 1930 
Discarding this as junk: , 
Discarding this as junk: - 
Discarding this as junk: 1933 
Discarding this as junk: . 
Discarding this as junk: ! 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: – 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: ? 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: – 
Discarding this as junk: – 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: ? 
Discarding this as junk: ’ 
Discarding this as junk: . 
Discarding this as junk: ( 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: – 
Discarding this as junk: , 
Discarding this as junk: µ 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: . 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: 1930 
Discarding this as junk: . 
Discarding this as junk: µ 
Discarding this as junk: ω 
Discarding this as junk: , 
Discarding this as junk: ˜ 
Discarding this as junk: . 
Discarding this as junk: . 
Discarding this as junk: – 
Discarding this as junk: . 
Discarding this as junk: — 
Discarding this as junk: , 
Discarding this as junk: – 
Discarding this as junk: ! 
Discarding this as junk: 1933 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: – 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: , 
Discarding this as junk: ! 
Discarding this as junk: .
Now lets look for some suffixes....


This is what the frequency map looks like when its sorted alphabetically, but from the back of the word and printed using our own formating.
40423
